hb,cancer_site,sex,year,incidences_all_ages,hb_name
S08000015,All cancer types,Females,2020,1201,Ayrshire and Arran
S08000015,All cancer types,Females,2021,1338,Ayrshire and Arran
S08000015,Bladder,All,1997,109,Ayrshire and Arran
S08000015,Bladder,All,1998,79,Ayrshire and Arran
S08000015,Bladder,All,1999,81,Ayrshire and Arran
S08000015,Bladder,All,2000,59,Ayrshire and Arran
S08000015,Bladder,All,2001,63,Ayrshire and Arran
S08000015,Bladder,All,2002,76,Ayrshire and Arran
S08000015,Bladder,All,2003,73,Ayrshire and Arran
S08000015,Bladder,All,2004,70,Ayrshire and Arran
S08000015,Bladder,All,2005,60,Ayrshire and Arran
S08000015,Bladder,All,2006,60,Ayrshire and Arran
S08000015,Bladder,All,2007,74,Ayrshire and Arran
S08000015,Bladder,All,2008,64,Ayrshire and Arran
S08000015,Bladder,All,2009,66,Ayrshire and Arran
S08000015,Bladder,All,2010,72,Ayrshire and Arran
S08000015,Bladder,All,2011,52,Ayrshire and Arran
S08000015,Bladder,All,2012,75,Ayrshire and Arran
S08000015,Bladder,All,2013,81,Ayrshire and Arran
S08000015,Bladder,All,2014,84,Ayrshire and Arran
S08000015,Bladder,All,2015,80,Ayrshire and Arran
S08000015,Bladder,All,2016,74,Ayrshire and Arran
S08000015,Bladder,All,2017,68,Ayrshire and Arran
S08000015,Bladder,All,2018,81,Ayrshire and Arran
S08000015,Bladder,All,2019,60,Ayrshire and Arran
S08000015,Bladder,All,2020,72,Ayrshire and Arran
S08000015,Bladder,All,2021,67,Ayrshire and Arran
S08000015,Bladder,Male,1997,75,Ayrshire and Arran
S08000015,Bladder,Male,1998,50,Ayrshire and Arran
S08000015,Bladder,Male,1999,56,Ayrshire and Arran
S08000015,Bladder,Male,2000,37,Ayrshire and Arran
S08000015,Bladder,Male,2001,44,Ayrshire and Arran
S08000015,Bladder,Male,2002,50,Ayrshire and Arran
S08000015,Bladder,Male,2003,56,Ayrshire and Arran
S08000015,Bladder,Male,2004,47,Ayrshire and Arran
S08000015,Bladder,Male,2005,37,Ayrshire and Arran
S08000015,Bladder,Male,2006,44,Ayrshire and Arran
S08000015,Bladder,Male,2007,44,Ayrshire and Arran
S08000015,Bladder,Male,2008,43,Ayrshire and Arran
S08000015,Bladder,Male,2009,45,Ayrshire and Arran
S08000015,Bladder,Male,2010,52,Ayrshire and Arran
S08000015,Bladder,Male,2011,36,Ayrshire and Arran
S08000015,Bladder,Male,2012,52,Ayrshire and Arran
S08000015,Bladder,Male,2013,57,Ayrshire and Arran
S08000015,Bladder,Male,2014,53,Ayrshire and Arran
S08000015,Bladder,Male,2015,57,Ayrshire and Arran
S08000015,Bladder,Male,2016,52,Ayrshire and Arran
S08000015,Bladder,Male,2017,39,Ayrshire and Arran
S08000015,Bladder,Male,2018,59,Ayrshire and Arran
S08000015,Bladder,Male,2019,45,Ayrshire and Arran
S08000015,Bladder,Male,2020,49,Ayrshire and Arran
S08000015,Bladder,Male,2021,42,Ayrshire and Arran
S08000015,Bladder,Females,1997,34,Ayrshire and Arran
S08000015,Bladder,Females,1998,29,Ayrshire and Arran
S08000015,Bladder,Females,1999,25,Ayrshire and Arran
S08000015,Bladder,Females,2000,22,Ayrshire and Arran
S08000015,Bladder,Females,2001,19,Ayrshire and Arran
S08000015,Bladder,Females,2002,26,Ayrshire and Arran
S08000015,Bladder,Females,2003,17,Ayrshire and Arran
S08000015,Bladder,Females,2004,23,Ayrshire and Arran
S08000015,Bladder,Females,2005,23,Ayrshire and Arran
S08000015,Bladder,Females,2006,16,Ayrshire and Arran
S08000015,Bladder,Females,2007,30,Ayrshire and Arran
S08000015,Bladder,Females,2008,21,Ayrshire and Arran
S08000015,Bladder,Females,2009,21,Ayrshire and Arran
S08000015,Bladder,Females,2010,20,Ayrshire and Arran
S08000015,Bladder,Females,2011,16,Ayrshire and Arran
S08000015,Bladder,Females,2012,23,Ayrshire and Arran
S08000015,Bladder,Females,2013,24,Ayrshire and Arran
S08000015,Bladder,Females,2014,31,Ayrshire and Arran
S08000015,Bladder,Females,2015,23,Ayrshire and Arran
S08000015,Bladder,Females,2016,22,Ayrshire and Arran
S08000015,Bladder,Females,2017,29,Ayrshire and Arran
S08000015,Bladder,Females,2018,22,Ayrshire and Arran
S08000015,Bladder,Females,2019,15,Ayrshire and Arran
S08000015,Bladder,Females,2020,23,Ayrshire and Arran
S08000015,Bladder,Females,2021,25,Ayrshire and Arran
S08000015,Bone and articular cartilage,All,1997,4,Ayrshire and Arran
S08000015,Bone and articular cartilage,All,1998,2,Ayrshire and Arran
S08000015,Bone and articular cartilage,All,1999,2,Ayrshire and Arran
S08000015,Bone and articular cartilage,All,2000,0,Ayrshire and Arran
S08000015,Bone and articular cartilage,All,2001,0,Ayrshire and Arran
S08000015,Bone and articular cartilage,All,2002,1,Ayrshire and Arran
S08000015,Bone and articular cartilage,All,2003,2,Ayrshire and Arran
S08000015,Bone and articular cartilage,All,2004,1,Ayrshire and Arran
S08000015,Bone and articular cartilage,All,2005,1,Ayrshire and Arran
S08000015,Bone and articular cartilage,All,2006,5,Ayrshire and Arran
S08000015,Bone and articular cartilage,All,2007,3,Ayrshire and Arran
S08000015,Bone and articular cartilage,All,2008,7,Ayrshire and Arran
S08000015,Bone and articular cartilage,All,2009,5,Ayrshire and Arran
S08000015,Bone and articular cartilage,All,2010,7,Ayrshire and Arran
S08000015,Bone and articular cartilage,All,2011,3,Ayrshire and Arran
S08000015,Bone and articular cartilage,All,2012,1,Ayrshire and Arran
S08000015,Bone and articular cartilage,All,2013,5,Ayrshire and Arran
S08000015,Bone and articular cartilage,All,2014,2,Ayrshire and Arran
S08000015,Bone and articular cartilage,All,2015,9,Ayrshire and Arran
S08000015,Bone and articular cartilage,All,2016,2,Ayrshire and Arran
S08000015,Bone and articular cartilage,All,2017,3,Ayrshire and Arran
S08000015,Bone and articular cartilage,All,2018,4,Ayrshire and Arran
S08000015,Bone and articular cartilage,All,2019,4,Ayrshire and Arran
S08000015,Bone and articular cartilage,All,2020,3,Ayrshire and Arran
S08000015,Bone and articular cartilage,All,2021,2,Ayrshire and Arran
S08000015,Bone and articular cartilage,Male,1997,3,Ayrshire and Arran
S08000015,Bone and articular cartilage,Male,1998,2,Ayrshire and Arran
S08000015,Bone and articular cartilage,Male,1999,0,Ayrshire and Arran
S08000015,Bone and articular cartilage,Male,2000,0,Ayrshire and Arran
S08000015,Bone and articular cartilage,Male,2001,0,Ayrshire and Arran
S08000015,Bone and articular cartilage,Male,2002,1,Ayrshire and Arran
S08000015,Bone and articular cartilage,Male,2003,1,Ayrshire and Arran
S08000015,Bone and articular cartilage,Male,2004,1,Ayrshire and Arran
S08000015,Bone and articular cartilage,Male,2005,0,Ayrshire and Arran
S08000015,Bone and articular cartilage,Male,2006,2,Ayrshire and Arran
S08000015,Bone and articular cartilage,Male,2007,1,Ayrshire and Arran
S08000015,Bone and articular cartilage,Male,2008,2,Ayrshire and Arran
S08000015,Bone and articular cartilage,Male,2009,3,Ayrshire and Arran
S08000015,Bone and articular cartilage,Male,2010,4,Ayrshire and Arran
S08000015,Bone and articular cartilage,Male,2011,2,Ayrshire and Arran
S08000015,Bone and articular cartilage,Male,2012,1,Ayrshire and Arran
S08000015,Bone and articular cartilage,Male,2013,4,Ayrshire and Arran
S08000015,Bone and articular cartilage,Male,2014,1,Ayrshire and Arran
S08000015,Bone and articular cartilage,Male,2015,4,Ayrshire and Arran
S08000015,Bone and articular cartilage,Male,2016,0,Ayrshire and Arran
S08000015,Bone and articular cartilage,Male,2017,1,Ayrshire and Arran
S08000015,Bone and articular cartilage,Male,2018,0,Ayrshire and Arran
S08000015,Bone and articular cartilage,Male,2019,3,Ayrshire and Arran
S08000015,Bone and articular cartilage,Male,2020,1,Ayrshire and Arran
S08000015,Bone and articular cartilage,Male,2021,1,Ayrshire and Arran
S08000015,Bone and articular cartilage,Females,1997,1,Ayrshire and Arran
S08000015,Bone and articular cartilage,Females,1998,0,Ayrshire and Arran
S08000015,Bone and articular cartilage,Females,1999,2,Ayrshire and Arran
S08000015,Bone and articular cartilage,Females,2000,0,Ayrshire and Arran
S08000015,Bone and articular cartilage,Females,2001,0,Ayrshire and Arran
S08000015,Bone and articular cartilage,Females,2002,0,Ayrshire and Arran
S08000015,Bone and articular cartilage,Females,2003,1,Ayrshire and Arran
S08000015,Bone and articular cartilage,Females,2004,0,Ayrshire and Arran
S08000015,Bone and articular cartilage,Females,2005,1,Ayrshire and Arran
S08000015,Bone and articular cartilage,Females,2006,3,Ayrshire and Arran
S08000015,Bone and articular cartilage,Females,2007,2,Ayrshire and Arran
S08000015,Bone and articular cartilage,Females,2008,5,Ayrshire and Arran
S08000015,Bone and articular cartilage,Females,2009,2,Ayrshire and Arran
S08000015,Bone and articular cartilage,Females,2010,3,Ayrshire and Arran
S08000015,Bone and articular cartilage,Females,2011,1,Ayrshire and Arran
S08000015,Bone and articular cartilage,Females,2012,0,Ayrshire and Arran
S08000015,Bone and articular cartilage,Females,2013,1,Ayrshire and Arran
S08000015,Bone and articular cartilage,Females,2014,1,Ayrshire and Arran
S08000015,Bone and articular cartilage,Females,2015,5,Ayrshire and Arran
S08000015,Bone and articular cartilage,Females,2016,2,Ayrshire and Arran
S08000015,Bone and articular cartilage,Females,2017,2,Ayrshire and Arran
S08000015,Bone and articular cartilage,Females,2018,4,Ayrshire and Arran
S08000015,Bone and articular cartilage,Females,2019,1,Ayrshire and Arran
S08000015,Bone and articular cartilage,Females,2020,2,Ayrshire and Arran
S08000015,Bone and articular cartilage,Females,2021,1,Ayrshire and Arran
S08000015,Bone and connective tissue,All,1997,10,Ayrshire and Arran
S08000015,Bone and connective tissue,All,1998,7,Ayrshire and Arran
S08000015,Bone and connective tissue,All,1999,10,Ayrshire and Arran
S08000015,Bone and connective tissue,All,2000,7,Ayrshire and Arran
S08000015,Bone and connective tissue,All,2001,6,Ayrshire and Arran
S08000015,Bone and connective tissue,All,2002,8,Ayrshire and Arran
S08000015,Bone and connective tissue,All,2003,12,Ayrshire and Arran
S08000015,Bone and connective tissue,All,2004,14,Ayrshire and Arran
S08000015,Bone and connective tissue,All,2005,11,Ayrshire and Arran
S08000015,Bone and connective tissue,All,2006,14,Ayrshire and Arran
S08000015,Bone and connective tissue,All,2007,13,Ayrshire and Arran
S08000015,Bone and connective tissue,All,2008,22,Ayrshire and Arran
S08000015,Bone and connective tissue,All,2009,13,Ayrshire and Arran
S08000015,Bone and connective tissue,All,2010,15,Ayrshire and Arran
S08000015,Bone and connective tissue,All,2011,19,Ayrshire and Arran
S08000015,Bone and connective tissue,All,2012,15,Ayrshire and Arran
S08000015,Bone and connective tissue,All,2013,12,Ayrshire and Arran
S08000015,Bone and connective tissue,All,2014,12,Ayrshire and Arran
S08000015,Bone and connective tissue,All,2015,20,Ayrshire and Arran
S08000015,Bone and connective tissue,All,2016,14,Ayrshire and Arran
S08000015,Bone and connective tissue,All,2017,17,Ayrshire and Arran
S08000015,Bone and connective tissue,All,2018,16,Ayrshire and Arran
S08000015,Bone and connective tissue,All,2019,16,Ayrshire and Arran
S08000015,Bone and connective tissue,All,2020,14,Ayrshire and Arran
S08000015,Bone and connective tissue,All,2021,14,Ayrshire and Arran
S08000015,Bone and connective tissue,Male,1997,8,Ayrshire and Arran
S08000015,Bone and connective tissue,Male,1998,5,Ayrshire and Arran
S08000015,Bone and connective tissue,Male,1999,3,Ayrshire and Arran
S08000015,Bone and connective tissue,Male,2000,5,Ayrshire and Arran
S08000015,Bone and connective tissue,Male,2001,4,Ayrshire and Arran
S08000015,Bone and connective tissue,Male,2002,4,Ayrshire and Arran
S08000015,Bone and connective tissue,Male,2003,8,Ayrshire and Arran
S08000015,Bone and connective tissue,Male,2004,8,Ayrshire and Arran
S08000015,Bone and connective tissue,Male,2005,8,Ayrshire and Arran
S08000015,Bone and connective tissue,Male,2006,7,Ayrshire and Arran
S08000015,Bone and connective tissue,Male,2007,7,Ayrshire and Arran
S08000015,Bone and connective tissue,Male,2008,14,Ayrshire and Arran
S08000015,Bone and connective tissue,Male,2009,7,Ayrshire and Arran
S08000015,Bone and connective tissue,Male,2010,9,Ayrshire and Arran
S08000015,Bone and connective tissue,Male,2011,11,Ayrshire and Arran
S08000015,Bone and connective tissue,Male,2012,6,Ayrshire and Arran
S08000015,Bone and connective tissue,Male,2013,9,Ayrshire and Arran
S08000015,Bone and connective tissue,Male,2014,6,Ayrshire and Arran
S08000015,Bone and connective tissue,Male,2015,10,Ayrshire and Arran
S08000015,Bone and connective tissue,Male,2016,7,Ayrshire and Arran
S08000015,Bone and connective tissue,Male,2017,11,Ayrshire and Arran
S08000015,Bone and connective tissue,Male,2018,7,Ayrshire and Arran
S08000015,Bone and connective tissue,Male,2019,6,Ayrshire and Arran
S08000015,Bone and connective tissue,Male,2020,4,Ayrshire and Arran
S08000015,Bone and connective tissue,Male,2021,10,Ayrshire and Arran
S08000015,Bone and connective tissue,Females,1997,2,Ayrshire and Arran
S08000015,Bone and connective tissue,Females,1998,2,Ayrshire and Arran
S08000015,Bone and connective tissue,Females,1999,7,Ayrshire and Arran
S08000015,Bone and connective tissue,Females,2000,2,Ayrshire and Arran
S08000015,Bone and connective tissue,Females,2001,2,Ayrshire and Arran
S08000015,Bone and connective tissue,Females,2002,4,Ayrshire and Arran
S08000015,Bone and connective tissue,Females,2003,4,Ayrshire and Arran
S08000015,Bone and connective tissue,Females,2004,6,Ayrshire and Arran
S08000015,Bone and connective tissue,Females,2005,3,Ayrshire and Arran
S08000015,Bone and connective tissue,Females,2006,7,Ayrshire and Arran
S08000015,Bone and connective tissue,Females,2007,6,Ayrshire and Arran
S08000015,Bone and connective tissue,Females,2008,8,Ayrshire and Arran
S08000015,Bone and connective tissue,Females,2009,6,Ayrshire and Arran
S08000015,Bone and connective tissue,Females,2010,6,Ayrshire and Arran
S08000015,Bone and connective tissue,Females,2011,8,Ayrshire and Arran
S08000015,Bone and connective tissue,Females,2012,9,Ayrshire and Arran
S08000015,Bone and connective tissue,Females,2013,3,Ayrshire and Arran
S08000015,Bone and connective tissue,Females,2014,6,Ayrshire and Arran
S08000015,Bone and connective tissue,Females,2015,10,Ayrshire and Arran
S08000015,Bone and connective tissue,Females,2016,7,Ayrshire and Arran
S08000015,Bone and connective tissue,Females,2017,6,Ayrshire and Arran
S08000015,Bone and connective tissue,Females,2018,9,Ayrshire and Arran
S08000015,Bone and connective tissue,Females,2019,10,Ayrshire and Arran
S08000015,Bone and connective tissue,Females,2020,10,Ayrshire and Arran
S08000015,Bone and connective tissue,Females,2021,4,Ayrshire and Arran
S08000015,Connective tissue,All,1997,6,Ayrshire and Arran
S08000015,Connective tissue,All,1998,5,Ayrshire and Arran
S08000015,Connective tissue,All,1999,8,Ayrshire and Arran
S08000015,Connective tissue,All,2000,7,Ayrshire and Arran
S08000015,Connective tissue,All,2001,6,Ayrshire and Arran
S08000015,Connective tissue,All,2002,7,Ayrshire and Arran
S08000015,Connective tissue,All,2003,10,Ayrshire and Arran
S08000015,Connective tissue,All,2004,13,Ayrshire and Arran
S08000015,Connective tissue,All,2005,10,Ayrshire and Arran
S08000015,Connective tissue,All,2006,9,Ayrshire and Arran
S08000015,Connective tissue,All,2007,10,Ayrshire and Arran
S08000015,Connective tissue,All,2008,15,Ayrshire and Arran
S08000015,Connective tissue,All,2009,8,Ayrshire and Arran
S08000015,Connective tissue,All,2010,8,Ayrshire and Arran
S08000015,Connective tissue,All,2011,16,Ayrshire and Arran
S08000015,Connective tissue,All,2012,14,Ayrshire and Arran
S08000015,Connective tissue,All,2013,7,Ayrshire and Arran
S08000015,Connective tissue,All,2014,10,Ayrshire and Arran
S08000015,Connective tissue,All,2015,11,Ayrshire and Arran
S08000015,Connective tissue,All,2016,12,Ayrshire and Arran
S08000015,Connective tissue,All,2017,14,Ayrshire and Arran
S08000015,Connective tissue,All,2018,12,Ayrshire and Arran
S08000015,Connective tissue,All,2019,12,Ayrshire and Arran
S08000015,Connective tissue,All,2020,11,Ayrshire and Arran
S08000015,Connective tissue,All,2021,12,Ayrshire and Arran
S08000015,Connective tissue,Male,1997,5,Ayrshire and Arran
S08000015,Connective tissue,Male,1998,3,Ayrshire and Arran
S08000015,Connective tissue,Male,1999,3,Ayrshire and Arran
S08000015,Connective tissue,Male,2000,5,Ayrshire and Arran
S08000015,Connective tissue,Male,2001,4,Ayrshire and Arran
S08000015,Connective tissue,Male,2002,3,Ayrshire and Arran
S08000015,Connective tissue,Male,2003,7,Ayrshire and Arran
S08000015,Connective tissue,Male,2004,7,Ayrshire and Arran
S08000015,Connective tissue,Male,2005,8,Ayrshire and Arran
S08000015,Connective tissue,Male,2006,5,Ayrshire and Arran
S08000015,Connective tissue,Male,2007,6,Ayrshire and Arran
S08000015,Connective tissue,Male,2008,12,Ayrshire and Arran
S08000015,Connective tissue,Male,2009,4,Ayrshire and Arran
S08000015,Connective tissue,Male,2010,5,Ayrshire and Arran
S08000015,Connective tissue,Male,2011,9,Ayrshire and Arran
S08000015,Connective tissue,Male,2012,5,Ayrshire and Arran
S08000015,Connective tissue,Male,2013,5,Ayrshire and Arran
S08000015,Connective tissue,Male,2014,5,Ayrshire and Arran
S08000015,Connective tissue,Male,2015,6,Ayrshire and Arran
S08000015,Connective tissue,Male,2016,7,Ayrshire and Arran
S08000015,Connective tissue,Male,2017,10,Ayrshire and Arran
S08000015,Connective tissue,Male,2018,7,Ayrshire and Arran
S08000015,Connective tissue,Male,2019,3,Ayrshire and Arran
S08000015,Connective tissue,Male,2020,3,Ayrshire and Arran
S08000015,Connective tissue,Male,2021,9,Ayrshire and Arran
S08000015,Connective tissue,Females,1997,1,Ayrshire and Arran
S08000015,Connective tissue,Females,1998,2,Ayrshire and Arran
S08000015,Connective tissue,Females,1999,5,Ayrshire and Arran
S08000015,Connective tissue,Females,2000,2,Ayrshire and Arran
S08000015,Connective tissue,Females,2001,2,Ayrshire and Arran
S08000015,Connective tissue,Females,2002,4,Ayrshire and Arran
S08000015,Connective tissue,Females,2003,3,Ayrshire and Arran
S08000015,Connective tissue,Females,2004,6,Ayrshire and Arran
S08000015,Connective tissue,Females,2005,2,Ayrshire and Arran
S08000015,Connective tissue,Females,2006,4,Ayrshire and Arran
S08000015,Connective tissue,Females,2007,4,Ayrshire and Arran
S08000015,Connective tissue,Females,2008,3,Ayrshire and Arran
S08000015,Connective tissue,Females,2009,4,Ayrshire and Arran
S08000015,Connective tissue,Females,2010,3,Ayrshire and Arran
S08000015,Connective tissue,Females,2011,7,Ayrshire and Arran
S08000015,Connective tissue,Females,2012,9,Ayrshire and Arran
S08000015,Connective tissue,Females,2013,2,Ayrshire and Arran
S08000015,Connective tissue,Females,2014,5,Ayrshire and Arran
S08000015,Connective tissue,Females,2015,5,Ayrshire and Arran
S08000015,Connective tissue,Females,2016,5,Ayrshire and Arran
S08000015,Connective tissue,Females,2017,4,Ayrshire and Arran
S08000015,Connective tissue,Females,2018,5,Ayrshire and Arran
S08000015,Connective tissue,Females,2019,9,Ayrshire and Arran
S08000015,Connective tissue,Females,2020,8,Ayrshire and Arran
S08000015,Connective tissue,Females,2021,3,Ayrshire and Arran
S08000015,Malignant brain cancer,All,1997,21,Ayrshire and Arran
S08000015,Malignant brain cancer,All,1998,35,Ayrshire and Arran
S08000015,Malignant brain cancer,All,1999,28,Ayrshire and Arran
S08000015,Malignant brain cancer,All,2000,21,Ayrshire and Arran
S08000015,Malignant brain cancer,All,2001,27,Ayrshire and Arran
S08000015,Malignant brain cancer,All,2002,24,Ayrshire and Arran
S08000015,Malignant brain cancer,All,2003,28,Ayrshire and Arran
S08000015,Malignant brain cancer,All,2004,27,Ayrshire and Arran
S08000015,Malignant brain cancer,All,2005,30,Ayrshire and Arran
S08000015,Malignant brain cancer,All,2006,31,Ayrshire and Arran
S08000015,Malignant brain cancer,All,2007,30,Ayrshire and Arran
S08000015,Malignant brain cancer,All,2008,32,Ayrshire and Arran
S08000015,Malignant brain cancer,All,2009,26,Ayrshire and Arran
S08000015,Malignant brain cancer,All,2010,28,Ayrshire and Arran
S08000015,Malignant brain cancer,All,2011,35,Ayrshire and Arran
S08000015,Malignant brain cancer,All,2012,24,Ayrshire and Arran
S08000015,Malignant brain cancer,All,2013,29,Ayrshire and Arran
S08000015,Malignant brain cancer,All,2014,33,Ayrshire and Arran
S08000015,Malignant brain cancer,All,2015,37,Ayrshire and Arran
S08000015,Malignant brain cancer,All,2016,29,Ayrshire and Arran
S08000015,Malignant brain cancer,All,2017,30,Ayrshire and Arran
S08000015,Malignant brain cancer,All,2018,42,Ayrshire and Arran
S08000015,Malignant brain cancer,All,2019,36,Ayrshire and Arran
S08000015,Malignant brain cancer,All,2020,35,Ayrshire and Arran
S08000015,Malignant brain cancer,All,2021,33,Ayrshire and Arran
S08000015,Malignant brain cancer,Male,1997,9,Ayrshire and Arran
S08000015,Malignant brain cancer,Male,1998,20,Ayrshire and Arran
S08000015,Malignant brain cancer,Male,1999,21,Ayrshire and Arran
S08000015,Malignant brain cancer,Male,2000,12,Ayrshire and Arran
S08000015,Malignant brain cancer,Male,2001,15,Ayrshire and Arran
S08000015,Malignant brain cancer,Male,2002,16,Ayrshire and Arran
S08000015,Malignant brain cancer,Male,2003,18,Ayrshire and Arran
S08000015,Malignant brain cancer,Male,2004,18,Ayrshire and Arran
S08000015,Malignant brain cancer,Male,2005,13,Ayrshire and Arran
S08000015,Malignant brain cancer,Male,2006,16,Ayrshire and Arran
S08000015,Malignant brain cancer,Male,2007,15,Ayrshire and Arran
S08000015,Malignant brain cancer,Male,2008,15,Ayrshire and Arran
S08000015,Malignant brain cancer,Male,2009,10,Ayrshire and Arran
S08000015,Malignant brain cancer,Male,2010,9,Ayrshire and Arran
S08000015,Malignant brain cancer,Male,2011,21,Ayrshire and Arran
S08000015,Malignant brain cancer,Male,2012,14,Ayrshire and Arran
S08000015,Malignant brain cancer,Male,2013,19,Ayrshire and Arran
S08000015,Malignant brain cancer,Male,2014,20,Ayrshire and Arran
S08000015,Malignant brain cancer,Male,2015,21,Ayrshire and Arran
S08000015,Malignant brain cancer,Male,2016,17,Ayrshire and Arran
S08000015,Malignant brain cancer,Male,2017,17,Ayrshire and Arran
S08000015,Malignant brain cancer,Male,2018,25,Ayrshire and Arran
S08000015,Malignant brain cancer,Male,2019,15,Ayrshire and Arran
S08000015,Malignant brain cancer,Male,2020,18,Ayrshire and Arran
S08000015,Malignant brain cancer,Male,2021,22,Ayrshire and Arran
S08000015,Malignant brain cancer,Females,1997,12,Ayrshire and Arran
S08000015,Malignant brain cancer,Females,1998,15,Ayrshire and Arran
S08000015,Malignant brain cancer,Females,1999,7,Ayrshire and Arran
S08000015,Malignant brain cancer,Females,2000,9,Ayrshire and Arran
S08000015,Malignant brain cancer,Females,2001,12,Ayrshire and Arran
S08000015,Malignant brain cancer,Females,2002,8,Ayrshire and Arran
S08000015,Malignant brain cancer,Females,2003,10,Ayrshire and Arran
S08000015,Malignant brain cancer,Females,2004,9,Ayrshire and Arran
S08000015,Malignant brain cancer,Females,2005,17,Ayrshire and Arran
S08000015,Malignant brain cancer,Females,2006,15,Ayrshire and Arran
S08000015,Malignant brain cancer,Females,2007,15,Ayrshire and Arran
